concept_id,name,status,first_seen_cycle,last_seen_cycle,description
FPS-001,user-sovereignty,active,001,002,The principle that individual users retain ultimate authority over their software environment — execution, data, configuration, automation, and modification.
FPS-002,collective-sovereignty,active,001,002,A community's right to govern shared software commons and infrastructure; potentially in tension with individual user sovereignty.
FPS-003,formal-freedom,active,001,002,Legal and technical permission to modify/inspect/fork/redistribute — necessary but not sufficient for practical freedom; elevated to document-wide cross-cutting framework in cycle 002.
FPS-004,practical-freedom,active,001,002,The actual exercisable capacity to modify/inspect/fork given real-world constraints of skills, tooling, documentation, and time; the operative standard under this proposal.
FPS-005,tivoization,active,001,002,Hardware using free software but locking users out of running modified versions via firmware verification; listed as anti-pattern.
FPS-006,cloudization,active,001,002,[speculative] Systems where hardware is local but meaningful computation runs remotely — cloud-era mutation of tivoization.
FPS-007,network-lock-in,active,001,002,Emergent dependency created by network effects even when code is technically free; makes alternatives impractical.
FPS-008,freedom-commons,active,001,002,Model treating freedom-preserving software as public infrastructure requiring commons governance rather than individual or vendor control.
FPS-009,data-sovereignty,active,001,002,User rights over their own generated data — distinct from code freedom and may require different protections; addressed within the end-user domain of the layered sovereignty model.
FPS-010,composability-paradox,active,001,002,[speculative] Composable tools that create emergent opacity and lock-in at the system level even when components are individually free.
FPS-011,training-data-extraction,active,001,002,Free-to-use systems that harvest user behavior to train proprietary models; extracting cognitive labor without reciprocation.
FPS-012,complexity-moat,active,001,002,Open-source code made practically unmodifiable through deliberate or emergent architectural complexity and missing documentation; generalized to a document-wide anti-pattern in cycle 002.
FPS-013,positive-freedom,active,001,002,Freedom to accomplish — active capacity enabled by tooling/documentation/community support; contrasts with negative freedom from restriction; operationalized as positive-architectural-obligation in cycle 002.
FPS-014,negative-freedom,active,001,002,Freedom from restriction or constraint; the primary register of the GNU Free Software Definition.
FPS-015,fork-fragmentation,active,001,002,Risk that individual exercise of the right to fork fragments a community commons that depends on network effects.
FPS-016,inspectability-by-default,active,001,002,Principle that all meaningful system behavior should be understandable and observable — readable source, observable workflows, durable logs; extended with AI-inspectability criteria in cycle 002.
FPS-017,right-to-fork,active,001,002,Principle that communities must be able to continue a system independently of its original creator; treated as resilience infrastructure.
FPS-018,shared-improvement-loop,active,001,002,Principle that improvements compound socially through contribution, redistribution, remixing, peer review, and publication of derived work; dependency on practical modifiability made explicit in cycle 002.
FPS-019,modifiability-first-class,active,001,002,Treating user ability to adapt systems as a core architectural requirement — modular components, declarative interfaces, portable formats; extended with testable criterion and positive obligations in cycle 002.
FPS-020,forkability-as-resilience,active,001,002,Treating the ability to fork as infrastructure for community resilience; architectural implication added: core value should be protocol-level not concentration-level to survive fragmentation.
FPS-021,layered-sovereignty,active,002,002,A governance model that resolves multi-party sovereignty by assigning domain-specific rights to end users, administrators, and organizations with a priority rule that no layer may eliminate a lower layer's rights within that lower layer's domain.
FPS-022,freedom-activation-energy,active,002,002,The threshold of skill, effort, tooling, and knowledge required before a formally-permitted freedom becomes practically exercisable; reducing activation energy is a positive design obligation.
FPS-023,positive-architectural-obligation,active,002,002,The obligation on system builders to actively enable the exercise of freedoms through architecture — progressive disclosure, documentation, stable interfaces, test infrastructure — beyond merely refraining from restricting them.
FPS-024,AI-inspectability,active,002,003,Conditions under which AI-powered systems satisfy inspectability-by-default: auditable training lineage, traceable inference paths, testable decision boundaries, surfaced uncertainty; distinguishes from post-hoc saliency explanations. Cycle 003: criteria flagged as structurally dependent on vendor self-attestation with no external verification mechanism.
FPS-025,governance-capture,active,003,003,The failure mode in which multi-stakeholder governance bodies are dominated by the well-resourced actors they are meant to check — achieved through funding of full-time participants and agenda-setting rather than formal veto.
FPS-026,compliance-sovereignty-conflict,active,003,003,The structural tension between regulatory compliance obligations (GDPR/HIPAA/SOC2) and user sovereignty as defined in this proposal; in regulated industries binding law requires restricting exactly the freedoms the layered sovereignty priority rule protects.
FPS-027,unfunded-obligation,active,003,003,The failure mode in which positive architectural obligations imposed on builders without a corresponding funding model select for well-resourced actors and disadvantage under-resourced projects — potentially concentrating the power the framework was designed to check.
FPS-028,freedom-decay,active,004,005,The gradual erosion of practical freedom through processes requiring no deliberate decision — stale documentation, accumulating network effects, contributor attrition, expanding external service dependencies, and growing codebase complexity. Cycle 005: promoted from emergent; concrete decay indicators added (documentation staleness, contributor concentration, dependency accumulation, network effect growth, codebase comprehension ceiling); periodic assessment mechanism defined with inputs, cadence, intervention threshold, and governance structure.
FPS-029,infrastructure-dependency-stack,active,004,005,The layered infrastructure below the application layer (hardware, network, platform, infrastructure services) whose freedom properties are inherited by applications built on top of them. Cycle 005: promoted from emergent/speculative; concrete design implication added — systems must document their infrastructure dependency footprint with governance status of each dependency; preference for commons-governed dependencies elevated to requirement; identified as primary accelerant of freedom-decay.
FPS-030,voluntary-delegation,active,004,005,The mechanism by which users actively choose to surrender freedoms in exchange for convenience, reliability, or social participation — distinct from coercive lock-in. Cycle 005: promoted from emergent; committed to structural coercion framing (interpretation 3) as operative assumption; design implication specified — the system's obligation is to ensure genuine alternatives exist (ecosystem model), not to prevent freedom-reducing choices (prohibition model); empirical distinguishing test added.
FPS-031,reversibility,active,004,005,The property of systems that allows users to undo state changes, exit configurations, and restore prior capability without data loss. Cycle 005: promoted from emergent/speculative; defined precisely as an individual-temporal mechanism distinct from forkability (collective continuity), data portability (transfer mechanism), and exit rights (permission mechanism); integrated as sub-principle of User Sovereignty; four testable criteria added (state undo, exit without loss, no irreversible defaults, degradation transparency).
FPS-032,contributor-obligations,active,004,005,The reciprocal duties that users who benefit from a freedom-preserving commons have toward sustaining it. Cycle 005: promoted from emergent/speculative; distinguished hard obligations (attribution, non-weaponization — enforceable through license or governance policy) from soft norms (upkeep contribution — reinforced through community culture); rationale for distinction provided: upkeep as hard obligation produces unfunded-obligation anti-pattern; attribution and non-weaponization are binary and low-cost, their absence directly degrades the commons.
